emp_no,first_name,last_name,to_date
10001,Georgi,Facello,9999-01-01
10004,Chirstian,Koblick,9999-01-01
10005,Kyoichi,Maliniak,9999-01-01
10006,Anneke,Preusig,9999-01-01
10009,Sumant,Peac,9999-01-01
10011,Mary,Sluis,1996-11-09
10018,Kazuhide,Peha,9999-01-01
10019,Lillian,Haddadi,9999-01-01
10020,Mayuko,Warwick,9999-01-01
10022,Shahaf,Famili,9999-01-01
10023,Bojan,Montemayor,9999-01-01
10026,Yongqiao,Berztiss,9999-01-01
10035,Alain,Chappelet,9999-01-01
10047,Zvonko,Nyanchama,9999-01-01
10051,Hidefumi,Caine,9999-01-01
10053,Sanjiv,Zschoche,9999-01-01
10057,Ebbe,Callaway,9999-01-01
10058,Berhard,McFarlin,9999-01-01
10059,Alejandro,McAlpine,9999-01-01
10063,Gino,Leonhardt,9999-01-01
10066,Kwee,Schusler,9999-01-01
10067,Claudi,Stavenow,9999-01-01
10070,Reuven,Garigliano,9999-01-01
10072,Hironoby,Sidou,9999-01-01
10073,Shir,McClurg,1998-02-22
10074,Mokhtar,Bernatsky,9999-01-01
10076,Erez,Ritzmann,9999-01-01
10088,Jungsoon,Syrzycki,9999-01-01
10091,Amabile,Gomatam,9999-01-01
10096,Jayson,Mandell,9999-01-01
10097,Remzi,Waschkowski,9999-01-01
10100,Hironobu,Haraldson,9999-01-01
10101,Perla,Heyers,2000-09-23
10103,Akemi,Birch,9999-01-01
10106,Eben,Aingworth,9999-01-01
10108,Lunjin,Giveon,2001-10-20
10116,Dayanand,Czap,1998-11-01
10126,Kayoko,Valtorta,9999-01-01
10127,Subir,Baja,9999-01-01
10129,Armond,Peir,9999-01-01
10130,Nishit,Casperson,9999-01-01
10131,Magdalena,Eldridge,1999-12-06
10134,Diederik,Siprelle,9999-01-01
10138,Perry,Shimshoni,9999-01-01
10149,Xiadong,Perry,1996-08-27
10150,Zhenbing,Perng,9999-01-01
10152,Jaques,Munro,1987-08-03
10153,Heekeun,Majewski,9999-01-01
10157,Nigel,Aloisi,9999-01-01
10159,Serif,Buescher,9999-01-01
10160,Debatosh,Khasidashvili,9999-01-01
10161,Hairong,Mellouli,1994-01-05
10163,Karsten,Szmurlo,9999-01-01
10166,Samphel,Siegrist,9999-01-01
10177,Pragnesh,Iisaka,1994-03-17
10183,Mechthild,Bonifati,9999-01-01
10186,Shigehito,Kropatsch,1997-08-16
10189,Khalid,Erva,1993-06-29
10194,Josyula,Hofmeyr,9999-01-01
10196,Marc,Hellwagner,9999-01-01
10198,Pranav,Furedi,9999-01-01
10203,Steen,Escriba,9999-01-01
10205,Mabhin,Leijenhorst,9999-01-01
10207,Girolamo,Anandan,9999-01-01
10215,Xiaobin,Duclos,9999-01-01
10217,Yongmin,Roison,1993-08-05
10219,Genta,Kolvik,9999-01-01
10224,Leon,Trogemann,9999-01-01
10228,Karoline,Cesareni,9999-01-01
10229,Ulises,Takanami,2000-06-30
10230,Clyde,Vernadat,9999-01-01
10233,Lein,Vendrig,9999-01-01
10237,Yannis,Mandell,2000-02-21
10239,Nikolaos,Llado,9999-01-01
10240,Remko,Maccarone,9999-01-01
10248,Frederique,Tempesti,9999-01-01
10249,Marie,Boreale,9999-01-01
10258,Basil,Ishibashi,9999-01-01
10262,Mahendra,Maraist,9999-01-01
